1.png  width: 151 height: 45 scale: 3.355556
2.png  width: 116 height: 35 scale: 3.314286
3.png  width: 103 height: 33 scale: 3.121212
4.png  width: 98 height: 31 scale: 3.161290
5.png  width: 139 height: 38 scale: 3.657895
6.png  width: 163 height: 50 scale: 3.260000
7.png  width: 153 height: 40 scale: 3.825000
8.png  width: 112 height: 31 scale: 3.612903
9.png  width: 133 height: 33 scale: 4.030303
10.png  width: 114 height: 31 scale: 3.677419
11.png  width: 117 height: 30 scale: 3.900000
12.png  width: 121 height: 36 scale: 3.361111
13.png  width: 112 height: 29 scale: 3.862069
14.png  width: 147 height: 35 scale: 4.200000
15.png  width: 128 height: 35 scale: 3.657143
16.png  width: 151 height: 42 scale: 3.595238
17.png  width: 126 height: 37 scale: 3.405405
18.png  width: 110 height: 35 scale: 3.142857
19.png  width: 84 height: 25 scale: 3.360000
20.png  width: 135 height: 36 scale: 3.750000
21.png  width: 112 height: 31 scale: 3.612903
22.png  width: 123 height: 33 scale: 3.727273
23.png  width: 100 height: 32 scale: 3.125000
24.png  width: 129 height: 33 scale: 3.909091
25.png  width: 132 height: 35 scale: 3.771429
26.png  width: 153 height: 40 scale: 3.825000
27.png  width: 130 height: 37 scale: 3.513514
28.png  width: 156 height: 40 scale: 3.900000
29.png  width: 166 height: 41 scale: 4.048780
30.png  width: 133 height: 47 scale: 2.829787
31.png  width: 173 height: 50 scale: 3.460000
32.png  width: 133 height: 38 scale: 3.500000
33.png  width: 131 height: 37 scale: 3.540541
34.png  width: 143 height: 47 scale: 3.042553
35.png  width: 136 height: 40 scale: 3.400000
36.png  width: 193 height: 47 scale: 4.106383
37.png  width: 155 height: 37 scale: 4.189189
38.png  width: 126 height: 36 scale: 3.500000
39.png  width: 132 height: 37 scale: 3.567568
40.png  width: 123 height: 36 scale: 3.416667
41.png  width: 82 height: 21 scale: 3.904762
42.png  width: 68 height: 21 scale: 3.238095
43.png  width: 147 height: 46 scale: 3.195652
44.png  width: 109 height: 28 scale: 3.892857
45.png  width: 82 height: 23 scale: 3.565217
46.png  width: 82 height: 26 scale: 3.153846
47.png  width: 141 height: 36 scale: 3.916667
48.png  width: 133 height: 35 scale: 3.800000
49.png  width: 125 height: 39 scale: 3.205128
50.png  width: 134 height: 35 scale: 3.828571
51.png  width: 126 height: 45 scale: 2.800000


avg width: 127, avg 36, avg scale: 3.551743
